"기준년월일","요일","시간대","발신지_시도","발신지_시군구","발신지_읍면동","통화건수"
"20171218","월","22","서울특별시","마포구","서교동","5"
"20171218","월","22","서울특별시","서대문구","연희동","5"
"20171218","월","22","서울특별시","서대문구","창천동","5"
"20171218","월","22","서울특별시","서초구","반포동","5"
"20171218","월","22","서울특별시","서초구","방배동","5"
"20171218","월","22","서울특별시","서초구","양재동","5"
"20171218","월","22","서울특별시","성동구","성수동2가","5"
"20171218","월","22","서울특별시","성동구","옥수동","5"
"20171218","월","22","서울특별시","성북구","동선동2가","5"
"20171218","월","22","서울특별시","영등포구","당산동6가","5"
"20171218","월","22","서울특별시","영등포구","여의도동","5"
"20171218","월","22","서울특별시","용산구","후암동","5"
"20171218","월","22","서울특별시","중구","수하동","7"
"20171218","월","23","서울특별시","강남구","논현동","5"
"20171218","월","23","서울특별시","강남구","삼성동","5"
"20171218","월","23","서울특별시","강남구","역삼동","8"
"20171218","월","23","서울특별시","강남구","일원동","5"
"20171218","월","23","서울특별시","강북구","미아동","5"
"20171218","월","23","서울특별시","서대문구","창천동","5"
"20171218","월","23","서울특별시","서초구","방배동","5"
"20171218","월","23","서울특별시","서초구","서초동","5"
"20171218","월","23","서울특별시","서초구","양재동","5"
"20171218","월","23","서울특별시","성동구","성수동2가","5"
"20171218","월","23","서울특별시","성북구","동선동2가","5"
"20171218","월","23","서울특별시","송파구","송파동","5"
"20171218","월","23","서울특별시","영등포구","문래동3가","5"
"20171218","월","23","서울특별시","영등포구","문래동5가","5"
"20171218","월","23","서울특별시","용산구","이태원동","5"
"20171218","월","23","서울특별시","은평구","불광동","5"
"20171218","월","23","서울특별시","종로구","신문로2가","5"
"20171218","월","23","서울특별시","종로구","창성동","5"
"20171218","월","23","서울특별시","중구","무교동","5"
"20171218","월","23","서울특별시","중구","수하동","7"
"20171218","월","23","서울특별시","중구","신당동","5"
"20171219","화","00","서울특별시","강남구","삼성동","5"
"20171219","화","00","서울특별시","강남구","수서동","5"
"20171219","화","00","서울특별시","강남구","논현동","5"
"20171219","화","00","서울특별시","강남구","역삼동","9"
"20171219","화","00","서울특별시","강동구","길동","5"
"20171219","화","00","서울특별시","강동구","성내동","5"
"20171219","화","00","서울특별시","강서구","내발산동","5"
"20171219","화","00","서울특별시","구로구","개봉동","5"
"20171219","화","00","서울특별시","금천구","가산동","5"
"20171219","화","00","서울특별시","마포구","상암동","5"
"20171219","화","00","서울특별시","서대문구","연희동","5"
"20171219","화","00","서울특별시","서초구","반포동","5"
"20171219","화","00","서울특별시","서초구","방배동","5"
"20171219","화","00","서울특별시","서초구","양재동","5"
"20171219","화","00","서울특별시","송파구","가락동","5"
"20171219","화","00","서울특별시","송파구","송파동","5"
"20171219","화","00","서울특별시","양천구","신정동","5"
"20171219","화","00","서울특별시","영등포구","여의도동","5"
"20171219","화","00","서울특별시","용산구","후암동","5"
"20171219","화","00","서울특별시","종로구","관수동","5"
"20171219","화","00","서울특별시","중구","수하동","6"
"20171219","화","01","서울특별시","강남구","논현동","5"
"20171219","화","01","서울특별시","강남구","삼성동","5"
"20171219","화","01","서울특별시","강남구","역삼동","11"
"20171219","화","01","서울특별시","강서구","가양동","5"
"20171219","화","01","서울특별시","구로구","개봉동","5"
"20171219","화","01","서울특별시","동대문구","제기동","5"
"20171219","화","01","서울특별시","마포구","상암동","5"
"20171219","화","01","서울특별시","서대문구","연희동","5"
"20171219","화","01","서울특별시","서초구","방배동","5"
"20171219","화","01","서울특별시","송파구","송파동","5"
"20171219","화","01","서울특별시","영등포구","문래동3가","5"
"20171219","화","01","서울특별시","영등포구","여의도동","5"
"20171219","화","01","서울특별시","종로구","관수동","5"
"20171219","화","01","서울특별시","중구","수하동","5"
"20171219","화","01","서울특별시","중구","신당동","5"
"20171219","화","02","서울특별시","강남구","논현동","5"
"20171219","화","02","서울특별시","강남구","삼성동","5"
"20171219","화","02","서울특별시","서대문구","연희동","5"
"20171219","화","02","서울특별시","영등포구","여의도동","5"
"20171219","화","02","서울특별시","용산구","후암동","5"
"20171219","화","02","서울특별시","중구","수하동","5"
"20171219","화","03","서울특별시","강남구","역삼동","5"
"20171219","화","03","서울특별시","용산구","후암동","5"
"20171219","화","05","서울특별시","마포구","상암동","5"
"20171219","화","05","서울특별시","용산구","한강로3가","5"
"20171219","화","06","서울특별시","강남구","삼성동","5"
"20171219","화","06","서울특별시","강서구","화곡동","5"
"20171219","화","06","서울특별시","영등포구","영등포동1가","5"
"20171219","화","07","서울특별시","강남구","개포동","5"
"20171219","화","07","서울특별시","강남구","역삼동","5"
"20171219","화","07","서울특별시","강동구","길동","5"
"20171219","화","07","서울특별시","강서구","내발산동","5"
"20171219","화","07","서울특별시","서초구","반포동","5"
"20171219","화","07","서울특별시","송파구","송파동","5"
"20171219","화","07","서울특별시","영등포구","여의도동","5"
"20171219","화","08","서울특별시","강동구","길동","5"
"20171219","화","08","서울특별시","강북구","번동","5"
"20171219","화","08","서울특별시","강서구","내발산동","5"
"20171219","화","08","서울특별시","금천구","가산동","5"
"20171219","화","08","서울특별시","서초구","반포동","5"
"20171219","화","08","서울특별시","성북구","동선동2가","5"
"20171219","화","08","서울특별시","송파구","송파동","5"
"20171219","화","08","서울특별시","은평구","불광동","5"
"20171219","화","09","서울특별시","강남구","삼성동","5"
"20171219","화","09","서울특별시","강서구","화곡동","5"
"20171219","화","09","서울특별시","서초구","방배동","5"
"20171219","화","09","서울특별시","서초구","서초동","5"
"20171219","화","09","서울특별시","성동구","성수동2가","5"
"20171219","화","09","서울특별시","송파구","가락동","5"
"20171219","화","09","서울특별시","송파구","송파동","5"
"20171219","화","09","서울특별시","용산구","후암동","5"
"20171219","화","10","서울특별시","강남구","개포동","5"
"20171219","화","10","서울특별시","강동구","길동","5"
"20171219","화","10","서울특별시","강서구","오쇠동","5"
"20171219","화","10","서울특별시","도봉구","쌍문동","5"
"20171219","화","10","서울특별시","서초구","방배동","5"
"20171219","화","10","서울특별시","성동구","옥수동","5"
"20171219","화","10","서울특별시","송파구","가락동","5"
"20171219","화","10","서울특별시","영등포구","신길동","5"
"20171219","화","10","서울특별시","중구","수하동","5"
"20171219","화","10","서울특별시","중구","신당동","5"
"20171219","화","11","서울특별시","강남구","삼성동","5"
"20171219","화","11","서울특별시","강남구","역삼동","5"
"20171219","화","11","서울특별시","관악구","봉천동","5"
"20171219","화","11","서울특별시","관악구","신림동","5"
"20171219","화","11","서울특별시","서대문구","창천동","5"
"20171219","화","11","서울특별시","영등포구","문래동3가","5"
"20171219","화","11","서울특별시","영등포구","문래동5가","5"
"20171219","화","11","서울특별시","영등포구","여의도동","5"
"20171219","화","11","서울특별시","용산구","후암동","5"
"20171219","화","11","서울특별시","중구","수하동","5"
"20171219","화","12","서울특별시","강북구","번동","5"
"20171219","화","12","서울특별시","관악구","신림동","5"
"20171219","화","12","서울특별시","동작구","사당동","5"
